MODOPRIN,FE_VIA,CRITERIOBR
Metro,177.763102,C1
A pe,177.763102,C1
A pe,177.763102,C1
Metro,77.149885,C1
Metro,77.149885,C1
Outros,1.0,C1
Metro,177.763102,C1
Onibus,193.397087,C1
A pe,189.591063,C1
A pe,189.591063,C1
A pe,189.591063,C1
A pe,189.591063,C1
A pe,189.591063,C1
A pe,189.591063,C1
A pe,189.591063,C1
Outros,1.0,B2
Outros,1.0,B2
Metro,455.222595,B2
A pe,455.222595,B2
A pe,455.222595,B2
Metro,455.222595,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Taxi,455.222595,B2
Taxi,455.222595,B2
Taxi,455.222595,B2
Taxi,455.222595,B2
A pe,455.222595,B2
A pe,455.222595,B2
A pe,455.222595,B2
Metro,455.222595,B2
Onibus,495.258708,B2
Onibus,495.258708,B2
Metro,455.222595,B2
A pe,197.568395,B2
A pe,197.568395,B2
A pe,197.568395,B2
A pe,197.568395,B2
A pe,197.568395,B2
Taxi,197.568395,B2
A pe,454.842237,B2
A pe,454.842237,B2
A pe,454.842237,B2
Onibus,494.84489800000006,B2
Onibus,494.84489800000006,B2
A pe,454.842237,B2
A pe,454.842237,B2
A pe,454.842237,B2
A pe,537.6645530000001,B2
Taxi,537.6645530000001,B2
Metro,197.568395,B2
Onibus,214.944225,B2
A pe,197.568395,B2
Outros,455.222595,C1
Outros,455.222595,C1
Carro,455.222595,B2
Carro,455.222595,B2
Carro,455.222595,B2
Carro,455.222595,B2
Carro,455.222595,B2
Carro,455.222595,B2
Carro,455.222595,B2
Carro,455.222595,B2
Outros,1.0,B2
Carro,455.222595,B2
Onibus,495.258708,B2
Carro,537.6645530000001,B2
Carro,537.6645530000001,B2
Metro,197.568395,B2
Carro,197.568395,B2
A pe,455.222595,B2
A pe,455.222595,B2
A pe,455.222595,B2
A pe,455.222595,B2
A pe,214.428586,B2
A pe,214.428586,B2
Carro,214.428586,B2
Carro,214.428586,B2
Carro,214.428586,B2
Carro,214.428586,B2
Carro,214.428586,B2
Carro,214.428586,B2
Carro,214.428586,B2
Carro,214.428586,B2
Taxi,214.428586,B1
Taxi,214.428586,B1
Taxi,214.428586,B1
Outros,1.0,B1
A pe,93.062849,C1
A pe,93.062849,C1
A pe,93.062849,C1
A pe,93.062849,C1
Carro,93.062849,C1
Carro,93.062849,C1
A pe,214.428586,B2
A pe,214.428586,B2
A pe,214.428586,B2
A pe,214.428586,B2
Metro,93.062849,B2
A pe,93.062849,B2
A pe,93.062849,B2
Metro,93.062849,B2
Metro,228.696187,A
Carro,228.696187,A
A pe,228.696187,B2
A pe,228.696187,B2
Taxi,214.428586,B1
A pe,214.428586,B1
A pe,214.428586,B1
A pe,214.428586,B1
Metro,214.428586,B1
Onibus,233.287244,B1
A pe,214.428586,B1
A pe,214.428586,B1
Onibus,101.247581,C1
Onibus,101.247581,C1
A pe,93.062849,C1
A pe,93.062849,C1
A pe,93.062849,C1
Metro,214.428586,B1
A pe,214.428586,B1
A pe,214.428586,B1
Trem,264.02155600000003,B1
Outros,1.0,B1
Onibus,233.287244,B1
Metro,214.428586,B1
Carro,214.428586,B1
Onibus,206.265299,D-E
Onibus,206.265299,D-E
Metro,77.149885,B2
Metro,77.149885,B2
Carro,77.149885,B2
Carro,77.149885,B2
Carro,177.614573,B2
Carro,177.614573,B2
A pe,177.763102,D-E
A pe,177.763102,D-E
Metro,197.568395,B2
Carro,197.568395,B2
Carro,197.568395,B2
Outros,1.0,B2
Taxi,197.568395,B2
Taxi,197.568395,B2
A pe,455.222595,B2
A pe,455.222595,B2
Outros,1.0,C2
Onibus,214.944225,C1
Onibus,214.944225,C1
Outros,1.0,C1
Onibus,214.944225,C2
A pe,197.568395,C2
