"","data","volume","chuva","temp.max","diff","x","y","z","medMov.chuva","medMov.diff","medMov.temp"
"1232",2020-05-16,592.21008,0,24,-1.03757000000007,0.107302777296093,0,23.52,0.419999999999999,-0.926911333333336,23.5333333333333
"1233",2020-05-17,591.11399,0,26,-1.09609,0.103704332276918,0,25.52,0.419999999999999,-0.949963333333335,23.4
"1234",2020-05-18,589.9144,0.2,25,-1.19958999999994,0.0973400284579707,0.00278551532033426,24.52,0.433333333333332,-0.969810666666664,23.6
"1235",2020-05-19,588.78084,0,24,-1.13355999999999,0.101400269821884,0,23.52,0.433333333333332,-0.992171333333333,23.6
"1236",2020-05-20,587.38162,0.05,26,-1.39922000000001,0.0850646084446598,0.000696378830083566,25.52,0.436666666666665,-1.02862,23.5333333333333
"1237",2020-05-21,586.0181,0,26,-1.36351999999999,0.087259832080763,0,25.52,0.436666666666665,-1.07418533333334,23.4666666666667
"1238",2020-05-22,584.85599,0,26,-1.16210999999998,0.0996447058215846,0,25.52,0.189999999999999,-1.11136733333334,24.0666666666667
"1239",2020-05-23,584.08022,4.1,23,-0.775769999999966,0.123401083960848,0.0571030640668524,22.52,0.463333333333332,-1.122978,24.2666666666667
"1240",2020-05-24,582.93793,0.8,17,-1.14229,0.100863454630198,0.011142061281337,16.52,0.516666666666665,-1.11158333333333,23.8666666666667
"1241",2020-05-25,581.8737,0,20,-1.06423000000007,0.105663431017705,0,19.52,0.516666666666665,-1.09564933333334,23.5333333333333
"1242",2020-05-26,580.40228,0,20,-1.47141999999997,0.0806249684859354,0,19.52,0.509999999999999,-1.10004733333334,23.1333333333333
"1243",2020-05-27,578.75613,0,22,-1.64615000000003,0.0698806708406621,0,21.52,0.503333333333332,-1.142314,22.8666666666667
"1244",2020-05-28,577.5262,0.1,21,-1.22992999999997,0.0954743958215733,0.00139275766016713,20.52,0.503333333333332,-1.15577733333333,22.6
"1245",2020-05-29,576.32014,0.1,25,-1.20605999999998,0.0969421826057114,0.00139275766016713,24.52,0.509999999999999,-1.16943266666666,22.8
"1246",2020-05-30,575.22187,0.1,25,-1.09827000000007,0.103570282206138,0.00139275766016713,24.52,0.363333333333332,-1.20171866666667,23.3333333333333
"1247",2020-05-31,573.90801,0,25,-1.31385999999998,0.0903134680966976,0,24.52,0.363333333333332,-1.220138,23.4
"1248",2020-06-01,572.73604,0.1,26,-1.17196999999999,0.0990384059601848,0.00139275766016713,25.52,0.369999999999999,-1.22519666666666,23.4
"1249",2020-06-02,571.57559,0,19,-1.16044999999997,0.0997467806461214,0,18.52,0.356666666666665,-1.22258733333333,23
"1250",2020-06-03,570.88984,1.7,23,-0.685749999999985,0.12893649101188,0.0236768802228412,22.52,0.469999999999999,-1.19273333333333,22.9333333333333
"1251",2020-06-04,569.81405,0,22,-1.0757900000001,0.104952596697441,0,21.52,0.466666666666665,-1.17117133333334,22.6666666666667
"1252",2020-06-05,569.22457,7,22,-0.58947999999998,0.134856215926378,0.0974930362116992,21.52,0.933333333333332,-1.11956866666667,22.4
"1253",2020-06-06,568.36139,0.35,25,-0.863179999999943,0.118026168049598,0.00487465181058496,24.52,0.956666666666665,-1.09964,22.3333333333333
"1254",2020-06-07,570.04377,28,26,1.68237999999997,0.274554836932389,0.389972144846797,25.52,2.55,-0.935763333333337,22.5333333333333
"1255",2020-06-08,570.51512,0.1,27,0.471350000000029,0.200087562982011,0.00139275766016713,26.52,2.50333333333333,-0.828187333333335,23.2
"1256",2020-06-09,570.3639,0.3,26,-0.15122000000008,0.161805199420995,0.00417827298050139,25.52,2.52333333333333,-0.767320000000003,23.6
"1257",2020-06-10,570.41813,1.9,28,0.0542300000000751,0.174438496228768,0.0264623955431755,27.52,2.65,-0.66561,24.1333333333333
"1258",2020-06-11,570.13908,0.2,28,-0.279049999999984,0.15394482302316,0.00278551532033426,27.52,2.66333333333333,-0.574469999999997,24.5333333333333
"1259",2020-06-12,569.2511,0.1,28,-0.887980000000084,0.116501194767367,0.00139275766016713,27.52,2.66333333333333,-0.551673333333338,25
"1260",2020-06-13,567.95514,0.1,28,-1.29595999999992,0.0914141544576596,0.00139275766016713,27.52,2.66333333333333,-0.557666666666667,25.2
"1261",2020-06-14,567.08512,0,23,-0.870020000000068,0.117605570579816,0,22.52,2.65666666666667,-0.54245,25.0666666666667
"1262",2020-06-15,566.40492,0,22,-0.680200000000013,0.129277765274634,0,21.52,2.65666666666667,-0.500206000000003,24.8666666666667
"1263",2020-06-16,565.36807,0,21,-1.03684999999996,0.107347050713971,0,20.52,2.65,-0.491198000000001,24.5333333333333
"1264",2020-06-17,564.19398,0,23,-1.17408999999998,0.0989080453408986,0,22.52,2.65,-0.492107333333335,24.8
"1265",2020-06-18,563.08488,0,25,-1.10910000000001,0.102904336212333,0,24.52,2.53666666666667,-0.52033066666667,24.9333333333333
"1266",2020-06-19,561.72584,0,26,-1.35904000000005,0.08753531112529,0,25.52,2.53666666666667,-0.539214,25.2
